x,y
0,0
1,366.01
2,492.38
3,588.24
4,666.67
5,736.39
6,801.75
7,858.39
8,910.68
9,962.97
10,1010.90
11,1054.47
12,1102.40
13,1145.97
14,1185.19
15,1228.76
16,1272.34
17,1311.55
18,1355.12
19,1394.34
20,1437.91
21,1477.13
22,1520.70
23,1564.28
24,1603.49
25,1647.06
26,1690.64
27,1738.57
28,1782.14
29,1830.07
30,1878.00
31,1925.93
32,1973.86
33,2026.15
34,2082.80
35,2135.08
36,2191.73
37,2252.73
38,2313.73
39,2374.74
40,2444.45
41,2509.81
42,2583.89
43,2657.96
44,2736.39
45,2819.18
46,2901.97
47,2989.12
48,3080.62
49,3176.48
50,3272.34
51,3372.56
52,3477.14
53,3594.78
54,3708.07
55,3825.72
56,3952.08
57,4078.45
58,4217.88
59,4357.31
60,4505.46
61,4653.61
62,4819.19
63,4984.77
64,5159.06
65,5350.78
66,5542.50
67,5751.65
68,5969.52
69,6204.81
70,6448.82
71,6710.26
72,6997.84
73,7294.14
74,7625.30
75,7973.88
76,8357.33
77,8775.63
78,9228.79
79,9716.81
80,10257.12
81,10849.71
82,11512.02
83,12244.05
84,13045.80
85,13921.62
86,14902.01
87,15904.19
88,17058.88
89,18344.29
90,19716.84
91,21241.90
92,22984.83
93,25054.55
94,27451.07
95,30326.90
96,34052.40
97,39106.89
98,46841.12
99,62004.57
99.8,105000.00
